step,phase,energy_norm,information_entropy,coupling_index,proto_semantons,semantic_objects,null_index
45,FROM_NULL_TO_FORM,0.02327816,0.98639058,0.53065569,1232,118,0.62754944
46,FROM_NULL_TO_FORM,0.02279953,0.98601844,0.53104847,1260,118,0.63520757
47,FROM_NULL_TO_FORM,0.02268427,0.98572986,0.52552096,1288,118,0.63705164
48,FROM_NULL_TO_FORM,0.02215844,0.98552278,0.52613779,1316,135,0.64546489
49,FROM_NULL_TO_FORM,0.02204728,0.98531025,0.52817207,1344,135,0.64724349
50,FROM_NULL_TO_FORM,0.02166891,0.98498643,0.53627235,1372,135,0.65329739
51,FROM_NULL_TO_FORM,0.02089115,0.98478341,0.53214144,1400,135,0.66574159
52,FROM_NULL_TO_FORM,0.02070223,0.98459898,0.53413806,1428,135,0.66876427
53,FROM_NULL_TO_FORM,0.02077572,0.98443639,0.52712708,1456,135,0.66758852
54,FROM_NULL_TO_FORM,0.019979,0.9841317,0.52574563,1484,135,0.68033596
55,FROM_NULL_TO_FORM,0.02028037,0.98386838,0.52485864,1512,135,0.67551403
56,FROM_NULL_TO_FORM,0.02055327,0.98359775,0.52243499,1540,145,0.67114761
57,FROM_NULL_TO_FORM,0.02038449,0.98324114,0.51102459,1568,145,0.67384811
58,FROM_NULL_TO_FORM,0.01988938,0.98307632,0.50309246,1596,145,0.68176986
59,FROM_NULL_TO_FORM,0.01949654,0.98293498,0.51289728,1624,145,0.68805529
60,FROM_NULL_TO_FORM,0.01917172,0.98271848,0.51539692,1652,145,0.69325248
61,FROM_NULL_TO_FORM,0.01879353,0.98252251,0.51395014,1680,145,0.6993035
62,FROM_NULL_TO_FORM,0.01866599,0.98226306,0.50916473,1708,145,0.70134417
63,FROM_NULL_TO_FORM,0.01905345,0.98204788,0.50954287,1736,145,0.69514479
64,FROM_NULL_TO_FORM,0.01899896,0.98176831,0.50858627,1764,156,0.69601671
65,FROM_NULL_TO_FORM,0.01898973,0.98168342,0.51720189,1792,156,0.69616426
66,RETURN_TO_NULL,0.01481199,0.98891191,0.51720189,1792,156,0.76300812
67,RETURN_TO_NULL,0.01155335,0.99327399,0.51720189,1792,156,0.81514633
68,RETURN_TO_NULL,0.00901162,0.99591516,0.51720189,1792,156,0.85581414
69,RETURN_TO_NULL,0.00702906,0.99751745,0.51720189,1792,156,0.88753503
70,RETURN_TO_NULL,0.00548267,0.99849059,0.51720189,1792,156,0.91227732
71,RETURN_TO_NULL,0.00427648,0.99908204,0.51720189,1792,156,0.93157631
72,RETURN_TO_NULL,0.00333565,0.99944164,0.51720189,1792,156,0.94662952
73,RETURN_TO_NULL,0.00260181,0.99966035,0.51720189,1792,156,0.95837103
74,RETURN_TO_NULL,0.00202941,0.99979337,0.51720189,1792,156,0.9675294
75,RETURN_TO_NULL,0.00158294,0.99987429,0.51720189,1792,156,0.97467293
76,RETURN_TO_NULL,0.00123469,0.99992352,0.51720189,1792,156,0.98024489
77,RETURN_TO_NULL,0.00096306,0.99995347,0.51720189,1792,156,0.98459101
78,RETURN_TO_NULL,0.00075119,0.99997169,0.51720189,1792,156,0.98798099
79,RETURN_TO_NULL,0.00058593,0.99998278,0.51720189,1792,156,0.99062517
80,RETURN_TO_NULL,0.00045702,0.99998952,0.51720189,1792,156,0.99268763
81,RETURN_TO_NULL,0.00035648,0.99999363,0.51720189,1792,156,0.99429635
82,RETURN_TO_NULL,0.00027805,0.99999612,0.51720189,1792,156,0.99555116
83,RETURN_TO_NULL,0.00021688,0.99999764,0.51720189,1792,156,0.9965299
85,NULL_AFTER_RETURN,0.00021688,0.99999764,0.51720189,1792,0,0.9965299
